name,parent
paschim medinipur,west-bengal
darjiling,west-bengal
murshidabad,west-bengal
koch bihar,west-bengal
maldah,west-bengal
purba bardhaman,west-bengal
longding,arunachal-pradesh
lower siang,arunachal-pradesh
marigaon,assam
goalpara,assam
darrang,assam
rohtas,bihar
siwan,bihar
sitamarhi,bihar
navsari,gujarat
anand,gujarat
sirsa,haryana
mewat,haryana
kulgam,jammu-&-kashmir
ramban,jammu-&-kashmir
koderma,jharkhand
bidar,karnataka
hassan,karnataka
sehore,madhya-pradesh
narsinghpur,madhya-pradesh
hoshangabad,madhya-pradesh
shahdol,madhya-pradesh
washim,maharashtra
bhadrak,odisha
jagatsinghapur,odisha
dhenkanal,odisha
nayagarh,odisha
dausa,rajasthan
dharmapuri,tamil-nadu
siddipet,telangana
nirmal,telangana
sitapur,uttar-pradesh
kheri,uttar-pradesh
aligarh,uttar-pradesh
bijnor,uttar-pradesh
rudraprayag,uttarakhand
birbhum,west-bengal
bankura,west-bengal
purulia,west-bengal
